R0_kids,R0_adults,R0_grandparents,VE_kids,VE_adults,VE_grandparents,Re_kids,Re_adults,Re_grandparents
1.7,1.0,1.0,0,0,0,1.7,1.0,1.0
1.7,1.0,1.0,0,0,0.8,1.7,1.0,0.2
1.7,1.0,1.0,0,0,1,1.7,1.0,0.0
1.7,1.0,1.0,0,0.8,0,1.7,0.2,1.0
1.7,1.0,1.0,0,0.8,0.8,1.7,0.2,0.2
1.7,1.0,1.0,0,0.8,1,1.7,0.2,0.0
1.7,1.0,1.0,0,1,0,1.7,0.0,1.0
1.7,1.0,1.0,0,1,0.8,1.7,0.0,0.2
1.7,1.0,1.0,0,1,1,1.7,0.0,0.0
1.7,1.0,1.0,0.8,0,0,0.34,1.0,1.0
1.7,1.0,1.0,0.8,0,0.8,0.34,1.0,0.2
1.7,1.0,1.0,0.8,0,1,0.34,1.0,0.0
1.7,1.0,1.0,0.8,0.8,0,0.34,0.2,1.0
1.7,1.0,1.0,0.8,0.8,0.8,0.34,0.2,0.2
1.7,1.0,1.0,0.8,0.8,1,0.34,0.2,0.0
1.7,1.0,1.0,0.8,1,0,0.34,0.0,1.0
1.7,1.0,1.0,0.8,1,0.8,0.34,0.0,0.2
1.7,1.0,1.0,0.8,1,1,0.34,0.0,0.0
1.7,1.0,1.0,1,0,0,0.0,1.0,1.0
1.7,1.0,1.0,1,0,0.8,0.0,1.0,0.2
1.7,1.0,1.0,1,0,1,0.0,1.0,0.0
1.7,1.0,1.0,1,0.8,0,0.0,0.2,1.0
1.7,1.0,1.0,1,0.8,0.8,0.0,0.2,0.2
1.7,1.0,1.0,1,0.8,1,0.0,0.2,0.0
1.7,1.0,1.0,1,1,0,0.0,0.0,1.0
1.7,1.0,1.0,1,1,0.8,0.0,0.0,0.2
1.7,1.0,1.0,1,1,1,0.0,0.0,0.0
1.7,1.0,1.1,0,0,0,1.7,1.0,1.1
1.7,1.0,1.1,0,0,0.8,1.7,1.0,0.22000000000000003
1.7,1.0,1.1,0,0,1,1.7,1.0,0.0
1.7,1.0,1.1,0,0.8,0,1.7,0.2,1.1
1.7,1.0,1.1,0,0.8,0.8,1.7,0.2,0.22000000000000003
1.7,1.0,1.1,0,0.8,1,1.7,0.2,0.0
1.7,1.0,1.1,0,1,0,1.7,0.0,1.1
1.7,1.0,1.1,0,1,0.8,1.7,0.0,0.22000000000000003
1.7,1.0,1.1,0,1,1,1.7,0.0,0.0
1.7,1.0,1.1,0.8,0,0,0.34,1.0,1.1
1.7,1.0,1.1,0.8,0,0.8,0.34,1.0,0.22000000000000003
1.7,1.0,1.1,0.8,0,1,0.34,1.0,0.0
1.7,1.0,1.1,0.8,0.8,0,0.34,0.2,1.1
1.7,1.0,1.1,0.8,0.8,0.8,0.34,0.2,0.22000000000000003
1.7,1.0,1.1,0.8,0.8,1,0.34,0.2,0.0
1.7,1.0,1.1,0.8,1,0,0.34,0.0,1.1
1.7,1.0,1.1,0.8,1,0.8,0.34,0.0,0.22000000000000003
1.7,1.0,1.1,0.8,1,1,0.34,0.0,0.0
1.7,1.0,1.1,1,0,0,0.0,1.0,1.1
